RANK,TIERS,PLAYER,TEAM,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,AVG_DIFF,PCT_OVER,POSITION,POS_RANK,BYE_WEEK,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,ADP_AVG,ADP_REALTIME,PASS_ATT,PASS_CMP,PASS_YDS,PASS_TDS,PASS_INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,2024_PASS_CMP,2024_PASS_ATT,2024_PASS_PCT,2024_PASS_YDS,2024_PASS_YA,2024_PASS_TD,2024_PASS_INT,2024_PASS_SACKS,2024_RUSH_ATT,2024_RUSH_YDS,2024_RUSH_TD,2024_FL,2024_G,2024_FPTS,2024_FPTS_PER_G,2024_ROST,2024_RUSH_YA,2024_RUSH_LG,2024_RUSH_20PLUS,2024_REC_TGT,2024_REC,2024_REC_YDS,2024_REC_YR,2024_REC_TD,2024_REC_LG,2024_REC_20PLUS,2024_K_FG,2024_K_FGA,2024_K_FG_PCT,2024_K_FG_LG,2024_K_FG_1_19,2024_K_FG_20_29,2024_K_FG_30_39,2024_K_FG_40_49,2024_K_FG_50PLUS,2024_K_XPT,2024_K_XPA,2024_DST_SACK,2024_DST_INT,2024_DST_FR,2024_DST_FF,2024_DST_DEF_TD,2024_DST_SFTY,2024_DST_SPC_TD
141,9,Christian Kirk,HOU,3,3,3,4,-2.1,37% (3/8),WR,55,6,179,158,135,171,153,110,151,142  +7,,,,,,0.7,4,0,0.8,144.9,54.3,698.3,3.7,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,70.9,8.9,26.90%,,,,47,27,379,14,1,61,7,,,,,,,,,,,,,,,,,,
142,9,Bryce Young,CAR,5,2,3,16,1.6,50% (6/12),QB,22,14,191,211,190,195,185,154,187.7,192  -10,555.4,352.1,"3,638.60",21.7,12,52.8,294.8,3.5,3.5,263.9,,,,,,,,,,,,,,,234,384,60.9,"2,403",6.3,15,9,29,43,249,6,2,14,203.8,14.6,19.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,9,Jerome Ford,CLE,2,4,4,-12,-1,42% (6/14),RB,50,9,139,162,146,241,108,150,157.7,148  +8,,,,,,142.7,589,3.1,0.8,106.3,34.3,238.4,1.1,,,,,,,,,,,,,,,,,,,,104,565,3,0,14,97,6.9,22.30%,5.4,66,5,43,37,225,6.1,0,,,,,,,,,,,,,,,,,,,,
144,9,Hunter Henry,NE,4,2,3,9,-0.6,43% (7/16),TE,17,14,154,171,154,173,158,178,164.7,161  -1,,,,,,,,,0.4,79.3,54.4,568.5,3.9,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,79.4,5,63.90%,,,,97,66,674,10.2,2,35,4,,,,,,,,,,,,,,,,,,
145,9,Michael Penix Jr.,ATL,3,3,4,12,-0.9,18% (2/11),QB,23,5,181,185,176,189,190,189,185,183  -2,541.3,346.7,"3,913.20",23.5,13.4,52.1,196.6,2.1,3.2,263,,,,,,,,,,,,,,,61,105,58.1,775,7.4,3,3,4,7,11,1,0,5,47.2,9.4,20.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,9,Brandon Aiyuk,SF,1,5,3,-28,-4.9,14% (1/7),WR,56,14,171,143,164,126,139,140,147.2,144  +3,,,,,,0,0.8,0,0.5,134.9,45,685.8,3.7,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,62.4,8.9,47.10%,,,,47,25,374,15,0,53,5,,,,,,,,,,,,,,,,,,
147,9,Dylan Sampson,CLE,4,2,4,2,-,-,RB,51,9,180,178,157,253,135,127,171.7,153  +15,,,,,,125,518.5,3,0.8,92,22.8,178.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,9,Jayden Higgins,HOU,4,2,3,-23,-,-,WR,57,6,150,125,166,207,138,121,151.2,147  +3,,,,,,0.7,4,0,0.4,139.3,50,663.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,9,Cedric Tillman,CLE,4,3,4,16,1,27% (3/11),WR,58,9,160,188,204,305,183,156,199.3,176  +14,,,,,,0.7,0.8,0,0.9,154.4,58,734,4.1,,,,,,,,,,,,,,,,,,,,1,-5,0,1,11,80.4,7.3,14.00%,,,,49,29,339,11.7,3,38,6,,,,,,,,,,,,,,,,,,
150,9,Jaydon Blue,DAL,4,4,3,-23,-,-,RB,52,10,157,142,141,155,116,143,142.3,139,,,,,,113.8,496.2,3.1,0.8,89.4,22.9,176.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,9,Luther Burden III,CHI,4,4,3,-5,-,-,WR,59,5,213,153,174,210,162,145,176.2,164  +11,,,,,,3.6,27.2,0.4,1.1,120.8,44.8,542.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,9,Joe Mixon,HOU,1,5,3,-73,0.4,46% (6/13),RB,53,6,145,80,87,72,111,210,117.5,119  -4,,,,,,143.4,569.8,4.9,0.8,111.4,24.6,197.3,1.1,,,,,,,,,,,,,,,,,,,,245,"1,016",11,0,14,204.5,14.6,56.80%,4.1,59,8,52,36,309,8.6,1,,,,,,,,,,,,,,,,,,,,
153,9,Keenan Allen,LAC,3,3,2,2,1.4,35% (5/14),WR,60,12,120,137,152,222,130,120,146.8,140  +6,,,,,,0.3,2,0,0.6,146.9,55.4,638.8,4.8,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,185.4,12.4,89.80%,,,,121,70,744,10.6,7,45,9,,,,,,,,,,,,,,,,,,
154,9,Geno Smith,LV,3,2,2,14,-0.8,43% (7/16),QB,24,8,203,234,175,206,200,191,201.5,263  -72,565.2,378.8,"3,952.90",22,13.4,54.3,242.4,1.7,2.8,261.4,,,,,,,,,,,,,,,407,578,70.4,"4,320",7.5,21,15,50,53,272,2,0,17,281.1,16.5,12.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,9,Romeo Doubs,GB,4,3,3,31,0.4,38% (5/13),WR,61,5,223,205,206,223,192,173,203.7,195  -3,,,,,,0,0.5,0,0.5,131.4,46.9,598.2,4.3,,,,,,,,,,,,,,,,,,,,0,0,0,0,13,132.1,10.2,56.30%,,,,72,46,601,13.1,4,39,8,,,,,,,,,,,,,,,,,,
156,9,Tyjae Spears,TEN,4,4,1,-23,0.6,41% (5/12),RB,54,10,204,174,172,200,150,203,183.8,182  -2,,,,,,83.1,335.3,2.5,0.5,74.9,28.4,212,1,,,,,,,,,,,,,,,,,,,,84,312,4,0,12,83.6,7,44.20%,3.7,23,1,35,30,224,7.5,1,,,,,,,,,,,,,,,,,,,,
157,9,Zach Ertz,WAS,4,2,2,-1,1.4,56% (9/16),TE,18,12,156,154,115,163,173,164,154.2,163  -10,,,,,,,,,0.1,84.7,58.3,540.9,5.1,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,111.4,6.6,65.80%,,,,91,66,654,9.9,7,37,7,,,,,,,,,,,,,,,,,,
158,9,Denver Broncos,DEN,3,3,3,-11,3.6,68% (11/16),DST,1,12,,,,,,,158,,,,,,,,,,,116.3,,,,,,,52.4,12.5,11.1,15.6,2.6,0.5,341.6,"5,364.50",,,,,,,,,,,,,17,179,10.5,97.60%,,,,,,,,,,,,,,,,,,,,,,63,15,9,12,5,2,0
159,9,Rico Dowdle,CAR,3,4,2,-18,0,37% (6/16),RB,55,14,,212,209,221,142,161,189,196  +9,,,,,,93.1,416.2,2.4,0.8,76,22.4,151.8,1.1,,,,,,,,,,,,,,,,,,,,235,"1,079",2,2,16,158.8,9.9,71.10%,4.6,27,2,49,39,249,6.4,3,,,,,,,,,,,,,,,,,,,,
160,9,Ollie Gordon II,MIA,4,3,3,29,-,-,RB,56,12,172,175,123,236,122,139,161.2,152  +7,,,,,,96.7,410.2,3.4,1.1,71.6,12.4,94.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,9,Matthew Stafford,LAR,4,4,3,0,-1.5,31% (5/16),QB,25,8,162,199,169,167,201,185,180.5,188  -9,544.7,357.4,"4,023.00",25.7,10.9,29.3,72.6,0.7,2.5,259.5,,,,,,,,,,,,,,,340,517,65.8,"3,762",7.3,20,8,28,30,41,0,2,16,222.6,13.9,83.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,9,Jonnu Smith,PIT,2,5,5,-45,3.5,62% (10/16),TE,19,5,187,140,182,97,147,163,152.7,157  -5,,,,,,,,,0.9,74.5,51.4,530.9,3.8,,,,,,,,,,,,,,,,,,,,2,-1,0,1,17,134.3,7.9,35.00%,,,,111,88,884,10,8,57,4,,,,,,,,,,,,,,,,,,
163,9,Marquise Brown,KC,4,4,2,-12,1.7,50% (1/2),WR,62,10,164,193,211,127,157,170,170.3,166,,,,,,0.3,2,0,0.2,149.7,55.4,682.7,4.4,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,18.1,9.1,34.80%,,,,15,9,91,10.1,0,20,1,,,,,,,,,,,,,,,,,,
164,10,Isaiah Likely,BAL,5,4,3,9,0.7,46% (7/15),TE,20,7,202,187,188,160,218,209,194,207  -21,,,,,,,,,0.7,73.2,39.5,468.3,4.6,,,,,,,,,,,,,,,,,,,,0,0,0,1,16,81.7,5.1,17.60%,,,,58,42,477,11.4,6,49,4,,,,,,,,,,,,,,,,,,
165,10,Philadelphia Eagles,PHI,2,3,0,-11,1.6,68% (11/16),DST,2,9,,,,,,,165,,,,,,,,,,,116.3,,,,,,,45.7,13.8,13.3,23.1,2.8,0,344.1,"5,501.40",,,,,,,,,,,,,17,135,7.9,71.90%,,,,,,,,,,,,,,,,,,,,,,41,13,13,18,1,0,0
166,10,Joshua Palmer,BUF,4,2,4,21,-1.2,26% (4/15),WR,63,7,,184,,232,188,175,194.8,170  +61,,,,,,0,0.5,0,0.1,129,44.5,622.5,3.8,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,107.4,7.2,6.90%,,,,65,39,584,15,1,45,10,,,,,,,,,,,,,,,,,,
167,10,Pittsburgh Steelers,PIT,3,3,4,-8,2.2,68% (11/16),DST,3,5,,,,,,,167,,,,,,,,,,,110.8,,,,,,,44,13.6,12.4,20.3,2.5,0,348.2,"5,691.20",,,,,,,,,,,,,17,146,8.6,70.30%,,,,,,,,,,,,,,,,,,,,,,40,17,16,18,1,0,1
168,10,DeMario Douglas,NE,2,2,3,22,-0.6,37% (6/16),WR,64,14,201,206,194,262,184,184,205.2,186  +9,,,,,,2.1,15.9,0,0.2,147.8,60.8,646.4,3.5,,,,,,,,,,,,,,,,,,,,3,16,0,0,17,147.7,8.7,11.50%,,,,87,66,621,9.4,3,36,8,,,,,,,,,,,,,,,,,,
169,10,Xavier Legette,CAR,2,4,4,-6,-1,40% (6/15),WR,65,14,144,181,203,208,170,157,177.2,171  +5,,,,,,6.2,30.6,0.1,0.5,156.1,60.1,678.1,4.3,,,,,,,,,,,,,,,,,,,,6,24,0,0,16,125.1,7.8,20.30%,,,,84,49,497,10.1,4,35,7,,,,,,,,,,,,,,,,,,
170,10,Cam Ward,TEN,3,3,1,-10,-,-,QB,26,10,175,167,183,169,217,159,178.3,197  -20,529.3,337.2,"3,642.60",21.8,13.8,70.8,330.1,2.4,4.1,258.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,10,Baltimore Ravens,BAL,2,3,3,13,-0.2,31% (5/16),DST,4,7,,,,,,,171,,,,,,,,,,,114.8,,,,,,,52.5,14,9.7,13.7,2.3,0.5,341.1,"5,327.80",,,,,,,,,,,,,17,120,7.1,65.00%,,,,,,,,,,,,,,,,,,,,,,54,12,5,12,2,0,0
172,10,Adam Thielen,MIN,2,4,4,-2,3.3,55% (5/9),WR,66,6,178,163,165,202,181,148,172.8,168  +3,,,,,,0,1.3,0,0.5,114.9,43.4,485.7,4,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,139.5,14,7.20%,,,,62,48,615,12.8,5,40,9,,,,,,,,,,,,,,,,,,
173,10,Minnesota Vikings,MIN,2,3,1,-2,3.1,62% (10/16),DST,5,6,,,,,,,173,,,,,,,,,,,108.5,,,,,,,45.8,13.6,10.2,15.1,2.5,0,356.3,"5,324.10",,,,,,,,,,,,,17,162,9.5,58.20%,,,,,,,,,,,,,,,,,,,,,,49,24,9,10,3,0,0
174,10,Kyle Williams,NE,5,1,3,-5,-,-,WR,67,14,,194,,229,204,174,200.3,190  +42,,,,,,2.1,13.3,0,0.4,92.2,33.5,428.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,10,Brenton Strange,JAC,4,2,3,-8,0.2,43% (7/16),TE,21,8,193,191,189,255,180,177,197.5,201  -12,,,,,,,,,0.5,74.9,55.2,548.8,3.5,,,,,,,,,,,,,,,,,,,,0,0,0,1,17,51.1,3,17.70%,,,,53,40,411,10.3,2,30,7,,,,,,,,,,,,,,,,,,
176,10,Blake Corum,LAR,1,4,3,12,-1.3,31% (5/16),RB,57,8,,215,,244,197,197,213.3,211  +24,,,,,,93.4,347.4,2.3,0.4,59.1,12.6,93.1,0.3,,,,,,,,,,,,,,,,,,,,58,207,0,0,15,26.5,1.8,11.10%,3.6,12,0,8,7,58,8.3,0,,,,,,,,,,,,,,,,,,,,
177,10,Wan'Dale Robinson,NYG,2,4,3,-2,-0.3,43% (7/16),WR,68,14,169,209,162,249,182,165,189.3,177  +6,,,,,,2,15.8,0,0.5,151.5,69.2,625.7,3.1,,,,,,,,,,,,,,,,,,,,3,18,0,0,17,182.7,10.7,59.80%,,,,140,93,699,7.5,3,35,4,,,,,,,,,,,,,,,,,,
178,10,Houston Texans,HOU,3,3,2,7,1.5,50% (8/16),DST,6,6,,,,,,,178,,,,,,,,,,,115,,,,,,,47.5,15.2,10,14.2,2.7,0.5,352.3,"5,550.60",,,,,,,,,,,,,17,139,8.2,77.00%,,,,,,,,,,,,,,,,,,,,,,49,19,9,10,3,1,0
179,10,Quentin Johnston,LAC,1,5,2,37,0.5,50% (7/14),WR,69,12,,248,200,284,262,179,234.6,209  +13,,,,,,1.7,7.3,0,0.4,104.2,34.4,452,4.1,,,,,,,,,,,,,,,,,,,,3,6,0,0,15,174.7,11.6,62.30%,,,,91,55,711,12.9,8,66,12,,,,,,,,,,,,,,,,,,
180,10,Tre Harris,LAC,4,3,2,-30,-,-,WR,70,12,,173,,168,178,162,170.3,175  +50,,,,,,0.7,3.8,0,0.7,114.3,40.6,542.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,10,Buffalo Bills,BUF,3,3,5,18,1.9,50% (8/16),DST,7,7,,,,,,,181,,,,,,,,,,,115.9,,,,,,,45.3,14,12.7,21.2,2.7,0.5,345.1,"5,809.60",,,,,,,,,,,,,17,133,7.8,69.10%,,,,,,,,,,,,,,,,,,,,,,39,16,16,17,3,1,0
182,10,Roschon Johnson,CHI,4,4,3,13,0.3,42% (6/14),RB,58,5,,245,215,301,206,220,237.4,249  -25,,,,,,86.7,300.8,4.2,0.1,67.6,14.9,98.1,0.4,,,,,,,,,,,,,,,,,,,,55,150,6,0,13,61.4,4.7,1.90%,2.7,9,0,20,16,104,6.5,0,,,,,,,,,,,,,,,,,,,,
183,10,Brandon Aubrey,DAL,5,1,4,-2,3.5,75% (12/16),K,1,10,107,99,104,71,132,130,107.2,111  -8,,,,,,,,,,140.1,,,,33.2,37.3,40.6,,,,,,,,,,,,,,,,,,,,,17,192,11.3,92.70%,,,,,,,,,,,40,47,85.1,65,0,4,8,14,14,30,30,,,,,,,
184,10,Sam Darnold,SEA,1,5,3,-8,2.4,75% (12/16),QB,27,8,199,231,,201,220,176,205.4,270  -58,544.1,356.5,"3,793.50",22.7,13.8,59.5,205.3,1.9,3.8,252.7,,,,,,,,,,,,,,,361,545,66.2,"4,319",7.9,35,12,48,67,212,1,4,17,319.8,18.8,46.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,10,Kansas City Chiefs,KC,3,4,2,19,0.4,37% (6/16),DST,8,10,,,,,,,185,,,,,,,,,,,102.3,,,,,,,45.7,11.8,9.3,14.3,2.2,0.5,348.2,"5,585.30",,,,,,,,,,,,,17,106,6.2,35.30%,,,,,,,,,,,,,,,,,,,,,,39,13,7,12,1,0,0
186,10,Will Shipley,PHI,5,4,3,12,-0.1,11% (1/9),RB,59,9,208,208,212,307,179,205,219.8,203  -2,,,,,,40.2,214.5,1.4,0.1,38.9,9.2,68.1,0.5,,,,,,,,,,,,,,,,,,,,30,82,0,0,13,11.7,0.9,3.20%,2.7,9,0,4,4,35,8.8,0,,,,,,,,,,,,,,,,,,,,
187,10,Kyle Monangai,CHI,4,4,4,-15,-,-,RB,60,5,,240,,322,155,278,248.8,226  +30,,,,,,44.3,265.6,2.4,0.1,45.7,6.4,45.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,10,DeAndre Hopkins,BAL,3,4,4,-26,-1,31% (5/16),WR,71,7,,216,,192,156,259,205.8,212  +22,,,,,,0,0.5,0,0.1,102.3,34.1,434.5,4.2,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,147,9.2,5.60%,,,,80,56,610,10.9,5,35,6,,,,,,,,,,,,,,,,,,
189,10,Chig Okonkwo,TEN,4,4,3,2,0.7,43% (7/16),TE,22,10,,177,,217,186,198,194.5,179  +51,,,,,,,,,0.8,74.3,56.5,563.5,3.2,,,,,,,,,,,,,,,,,,,,1,17,0,1,17,61.6,3.6,16.20%,,,,70,52,479,9.2,2,70,4,,,,,,,,,,,,,,,,,,
190,10,Cameron Dicker,LAC,4,1,3,3,2.6,68% (11/16),K,2,12,118,126,158,78,152,169,133.5,138  -10,,,,,,,,,,131.3,,,,31.2,34.3,37.8,,,,,,,,,,,,,,,,,,,,,17,179,10.5,98.20%,,,,,,,,,,,39,42,92.9,59,1,9,9,11,9,33,36,,,,,,,
191,10,Detroit Lions,DET,3,3,1,20,1.2,50% (8/16),DST,9,8,,,,,,,191,,,,,,,,,,,104.9,,,,,,,43,13.9,9.6,14.2,2.5,0,375.9,"5,788.90",,,,,,,,,,,,,17,123,7.2,88.10%,,,,,,,,,,,,,,,,,,,,,,37,16,8,11,1,0,1
192,10,Green Bay Packers,GB,3,4,2,20,2.6,62% (10/16),DST,10,5,,,,,,,192,,,,,,,,,,,112.6,,,,,,,47.3,12.8,12.1,18.7,2.4,0.5,355.6,"5,579.00",,,,,,,,,,,,,17,148,8.7,60.40%,,,,,,,,,,,,,,,,,,,,,,45,17,14,15,1,0,0
193,10,Alec Pierce,IND,2,4,2,9,3.1,53% (8/15),WR,72,11,,254,,256,219,206,233.8,218  +29,,,,,,0,0,0,0.1,105.4,31.1,536.5,3.5,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,161.4,10.1,16.30%,,,,69,37,824,22.3,7,65,13,,,,,,,,,,,,,,,,,,
194,10,Cade Otton,TB,1,4,1,-15,0.3,50% (7/14),TE,23,9,243,233,,211,189,196,214.4,221  -6,,,,,,,,,0.5,75.3,50.4,515.6,4.1,,,,,,,,,,,,,,,,,,,,1,-4,0,1,14,81.6,5.8,29.20%,,,,87,59,600,10.2,4,44,7,,,,,,,,,,,,,,,,,,
195,10,Jake Bates,DET,4,1,4,8,0.9,62% (10/16),K,3,8,100,118,170,102,164,129,130.5,134  -8,,,,,,,,,,128.9,,,,27,30.3,48.1,,,,,,,,,,,,,,,,,,,,,17,161,9.5,88.50%,,,,,,,,,,,26,29,89.7,58,0,3,10,7,6,64,67,,,,,,,
196,10,Chris Rodriguez Jr.,WAS,2,4,4,47,2.5,42% (3/7),RB,61,12,,,,365,172,285,274,275  +19,,,,,,70.4,318.3,2.9,0.4,53.5,5.3,40.3,0.1,,,,,,,,,,,,,,,,,,,,35,173,2,0,8,30.5,3.8,4.50%,4.9,25,1,1,1,12,12,0,,,,,,,,,,,,,,,,,,,,
197,10,Seattle Seahawks,SEA,3,3,4,29,2.1,50% (8/16),DST,11,8,,,,,,,197,,,,,,,,,,,101.2,,,,,,,45.1,12.9,8.6,13.7,2,0.5,362.7,"5,633.70",,,,,,,,,,,,,17,136,8,82.30%,,,,,,,,,,,,,,,,,,,,,,45,13,5,14,4,1,1
198,10,Jalen Coker,CAR,3,4,4,77,1.9,44% (4/9),WR,73,14,,227,,337,271,217,263,238  +22,,,,,,0,2.3,0,0.1,102.2,38.9,487.9,2.4,,,,,,,,,,,,,,,,,,,,0,0,0,0,11,92.6,8.4,7.20%,,,,46,32,478,14.9,2,83,6,,,,,,,,,,,,,,,,,,
199,10,Los Angeles Rams,LAR,2,3,2,36,1.6,50% (8/16),DST,12,8,,,,,,,199,,,,,,,,,,,104.1,,,,,,,45,13.2,9.1,14.8,2.2,0.5,375.6,"5,912.20",,,,,,,,,,,,,17,118,6.9,50.20%,,,,,,,,,,,,,,,,,,,,,,38,13,7,10,3,1,1
200,10,Isaac Guerendo,SF,4,4,3,-34,1.7,33% (5/15),RB,62,14,,195,187,199,191,240,202.4,214  -5,,,,,,50.1,239.7,1.9,0.4,41.8,7.5,67.2,0.1,,,,,,,,,,,,,,,,,,,,84,420,4,1,16,79.2,5,3.10%,5,76,2,16,15,152,10.1,0,,,,,,,,,,,,,,,,,,,,
201,10,Kendre Miller,NO,4,4,3,32,-1.5,28% (2/7),RB,63,11,,,,,,,201,,,,,,,110.2,416.5,3.7,0.5,73,12,90,0.2,,,,,,,,,,,,,,,,,,,,39,148,1,0,7,24.1,3.4,4.30%,3.8,17,0,8,5,33,6.6,0,,,,,,,,,,,,,,,,,,,,
202,10,Woody Marks,HOU,4,4,3,4,-,-,RB,64,6,,201,,332,168,171,218,204  +33,,,,,,58.4,234.6,1.6,0.1,52.2,19.4,144.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,11,Darius Slayton,NYG,3,4,3,60,-0.5,33% (5/15),WR,74,14,,292,,310,261,249,278,278  -9,,,,,,1.4,6.4,0,0.2,104.7,35.5,534.3,2.5,,,,,,,,,,,,,,,,,,,,2,17,0,0,16,110,6.9,22.00%,,,,71,39,573,14.7,2,43,9,,,,,,,,,,,,,,,,,,
204,11,Wil Lutz,DEN,4,1,3,48,2.1,50% (8/16),K,4,12,217,198,210,130,176,221,192,172  +13,,,,,,,,,,125.4,,,,28.4,32.3,40.2,,,,,,,,,,,,,,,,,,,,,17,160,9.4,51.60%,,,,,,,,,,,31,34,91.2,55,0,2,13,11,5,46,46,,,,,,,
205,11,Chase McLaughlin,TB,3,1,4,25,1.7,56% (9/16),K,5,9,115,149,159,109,175,168,145.8,159  -15,,,,,,,,,,136.6,,,,30.1,32.9,46.3,,,,,,,,,,,,,,,,,,,,,17,164,9.6,83.30%,,,,,,,,,,,30,32,93.8,56,0,11,7,4,8,54,56,,,,,,,
206,11,Ka'imi Fairbairn,HOU,4,1,1,3,2.4,75% (12/16),K,6,6,183,189,198,87,171,199,171.2,156  +11,,,,,,,,,,127.8,,,,30.7,34.7,35.8,,,,,,,,,,,,,,,,,,,,,17,172,10.1,47.90%,,,,,,,,,,,36,42,85.7,59,0,8,11,4,13,34,36,,,,,,,
207,11,Jaylen Wright,MIA,3,4,3,-13,-0.9,26% (4/15),RB,65,12,,218,,245,215,181,214.8,217  +19,,,,,,108.2,426.9,2.8,1.1,67,10.5,71.2,0.5,,,,,,,,,,,,,,,,,,,,68,249,0,1,15,23.7,1.6,2.70%,3.7,20,1,6,3,8,2.7,0,,,,,,,,,,,,,,,,,,,,
208,11,Elic Ayomanor,TEN,4,3,2,31,-,-,WR,75,10,,207,,323,223,222,243.8,239  +14,,,,,,0,5.7,0,0.1,88,33.3,404.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,11,Michael Wilson,ARI,3,3,4,28,-0.1,50% (8/16),WR,76,8,,277,,319,277,246,279.8,219  +51,,,,,,1.9,8.9,0.1,0.5,123.5,44.9,540.2,4.1,,,,,,,,,,,,,,,,,,,,1,7,0,1,16,124.5,7.8,3.30%,,,,71,47,548,11.7,4,41,10,,,,,,,,,,,,,,,,,,
210,11,Los Angeles Chargers,LAC,3,3,3,49,1.2,56% (9/16),DST,13,12,,,,,,,210,,,,,,,,,,,103.6,,,,,,,47,12.3,9.9,15.3,2.1,0,370.7,"5,812.30",,,,,,,,,,,,,17,128,7.5,40.40%,,,,,,,,,,,,,,,,,,,,,,46,15,6,8,1,0,0
211,11,Mike Gesicki,CIN,3,4,4,-11,0.3,37% (6/16),TE,24,10,325,217,,267,263,192,252.8,235  -9,,,,,,,,,0.4,69.8,50.8,501.3,3.4,,,,,,,,,,,,,,,,,,,,0,0,0,1,17,76.5,4.5,2.50%,,,,83,65,665,10.2,2,47,5,,,,,,,,,,,,,,,,,,
212,11,DJ Giddens,IND,3,4,3,-7,-,-,RB,66,11,,241,,316,213,204,243.5,257  -5,,,,,,23.7,163.2,1.3,0,30.3,7.6,56.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,11,Keaton Mitchell,BAL,3,4,2,10,-0.9,0% (0/3),RB,67,7,,229,,287,196,250,240.5,243  +8,,,,,,66.1,322.4,1.7,0,54,9.1,85.5,0.5,,,,,,,,,,,,,,,,,,,,15,30,0,0,4,5.8,1.5,4.60%,2,7,0,1,1,28,28,0,,,,,,,,,,,,,,,,,,,,
214,11,Harrison Butker,KC,1,4,3,5,0.1,58% (7/12),K,7,10,147,151,184,147,193,208,171.7,187  -18,,,,,,,,,,128.3,,,,28.7,33.3,42.3,,,,,,,,,,,,,,,,,,,,,13,100,7.7,64.00%,,,,,,,,,,,21,25,84,53,1,7,7,4,2,29,31,,,,,,,
215,11,Aaron Rodgers,PIT,1,4,4,-35,-0.3,50% (8/16),QB,28,5,190,226,,193,216,193,203.6,272  -61,540.8,347,"3,738.80",22.9,9.7,22.4,80.5,0.4,2.8,236.7,,,,,,,,,,,,,,,368,584,63,"3,897",6.7,28,11,40,22,107,0,2,17,267.6,15.7,38.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,11,San Francisco 49ers,SF,2,3,4,-24,-0.9,25% (4/16),DST,14,14,,,,,,,216,,,,,,,,,,,103.1,,,,,,,43,13.3,8.8,13.8,2.3,1,384.8,"5,632.90",,,,,,,,,,,,,17,84,4.9,21.50%,,,,,,,,,,,,,,,,,,,,,,37,11,6,11,1,0,1
217,11,Pat Bryant,DEN,4,3,2,3,-,-,WR,77,12,,244,,388,255,258,286.3,240  +34,,,,,,0,0,0,0.1,94,34.2,416.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,11,Mason Taylor,NYJ,4,3,4,-41,-,-,TE,25,9,,210,,271,198,226,226.3,208  +33,,,,,,,,,0.8,68.2,51.5,518,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
