RANK,TIERS,PLAYER,TEAM,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,AVG_DIFF,PCT_OVER,POSITION,POS_RANK,BYE_WEEK,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,ADP_AVG,ADP_REALTIME,PASS_ATT,PASS_CMP,PASS_YDS,PASS_TDS,PASS_INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,2024_PASS_CMP,2024_PASS_ATT,2024_PASS_PCT,2024_PASS_YDS,2024_PASS_YA,2024_PASS_TD,2024_PASS_INT,2024_PASS_SACKS,2024_RUSH_ATT,2024_RUSH_YDS,2024_RUSH_TD,2024_FL,2024_G,2024_FPTS,2024_FPTS_PER_G,2024_ROST,2024_RUSH_YA,2024_RUSH_LG,2024_RUSH_20PLUS,2024_REC_TGT,2024_REC,2024_REC_YDS,2024_REC_YR,2024_REC_TD,2024_REC_LG,2024_REC_20PLUS,2024_K_FG,2024_K_FGA,2024_K_FG_PCT,2024_K_FG_LG,2024_K_FG_1_19,2024_K_FG_20_29,2024_K_FG_30_39,2024_K_FG_40_49,2024_K_FG_50PLUS,2024_K_XPT,2024_K_XPA,2024_DST_SACK,2024_DST_INT,2024_DST_FR,2024_DST_FF,2024_DST_DEF_TD,2024_DST_SFTY,2024_DST_SPC_TD
39,5,Terry McLaurin,WAS,4,4,3,-4,1.8,75% (12/16),WR,18,12,35,42,45,28,39,47,39.3,37  +2,,,,,,1.1,4.8,0,0.9,244.7,84.3,"1,122.00",8.2,,,,,,,,,,,,,,,,,,,,2,2,0,1,17,267.8,15.8,93.50%,,,,117,82,"1,096",13.4,13,86,12,,,,,,,,,,,,,,,,,,
40,5,Kenneth Walker III,SEA,5,3,3,3,0.2,36% (4/11),RB,15,8,47,43,33,40,38,45,41,42  +1,,,,,,233.4,948.3,8,1.3,178.4,43,308.1,1.3,,,,,,,,,,,,,,,,,,,,153,573,7,0,11,135.2,12.3,95.40%,3.7,28,5,53,46,299,6.5,1,,,,,,,,,,,,,,,,,,,,
41,5,Garrett Wilson,NYJ,4,3,4,-4,0.1,43% (7/16),WR,19,9,41,37,51,37,44,32,40.3,39  +2,,,,,,1.9,13.5,0,1.3,234.7,91.2,"1,088.80",6,,,,,,,,,,,,,,,,,,,,2,5,0,2,17,251.9,14.8,96.00%,,,,154,101,"1,104",10.9,7,42,16,,,,,,,,,,,,,,,,,,
42,5,DK Metcalf,PIT,4,4,4,8,-1.7,28% (4/14),WR,20,5,43,45,49,53,54,52,49.3,47  +1,,,,,,0,1.2,0,1.3,234.5,78.6,"1,144.10",7.3,,,,,,,,,,,,,,,,,,,,0,0,0,2,15,191.2,12.7,97.80%,,,,108,66,992,15,5,71,20,,,,,,,,,,,,,,,,,,
43,5,TreVeyon Henderson,NE,5,3,5,3,-,-,RB,16,14,48,52,41,52,36,39,44.7,44  +1,,,,,,222.7,968.6,6.3,1.7,170.3,36.6,284.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,Chuba Hubbard,CAR,4,3,2,1,2.1,53% (8/15),RB,17,14,40,46,44,56,41,50,46.2,48  -2,,,,,,252.3,"1,109.60",8.2,1.8,187.6,40.9,246.5,1.1,,,,,,,,,,,,,,,,,,,,250,"1,195",10,3,15,198.6,13.2,80.20%,4.8,38,8,54,43,171,4,1,,,,,,,,,,,,,,,,,,,,
45,5,Jameson Williams,DET,5,3,3,13,2.6,60% (9/15),WR,21,8,66,63,65,51,63,53,60.2,60  -3,,,,,,7.4,63.4,0.8,0.5,210.3,62.4,991,6.4,,,,,,,,,,,,,,,,,,,,11,61,1,0,15,212.2,14.1,86.00%,,,,91,58,"1,001",17.3,7,82,17,,,,,,,,,,,,,,,,,,
46,5,Courtland Sutton,DEN,4,1,2,3,1.1,62% (10/16),WR,22,12,58,50,53,57,50,49,52.8,52  -1,,,,,,0,0.2,0,0.9,222.1,76.6,"1,016.60",7.6,,,,,,,,,,,,,,,,,,,,0,0,0,1,17,240.3,14.1,95.60%,,,,135,81,"1,081",13.3,8,47,17,,,,,,,,,,,,,,,,,,
47,5,Breece Hall,NYJ,4,4,4,-13,-2.6,26% (4/15),RB,18,9,51,38,43,31,34,36,38.8,43  -5,,,,,,218.4,977.9,5.8,1.6,178.7,46,376.5,1.9,,,,,,,,,,,,,,,,,,,,209,876,5,2,16,183.9,11.5,97.50%,4.2,42,3,76,57,483,8.5,3,,,,,,,,,,,,,,,,,,,,
48,5,Joe Burrow,CIN,5,2,4,-12,3.9,68% (11/16),QB,5,10,33,34,25,35,35,38,33.3,40  -8,620.9,430.1,"4,625.60",35.7,10.4,48.2,179.7,2.1,3.8,340.4,,,,,,,,,,,,,,,460,652,70.6,"4,918",7.5,43,9,48,42,201,2,5,17,381.9,22.5,72.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,5,James Conner,ARI,3,3,2,-2,0.4,62% (10/16),RB,19,8,45,48,42,49,46,54,47.3,46  +1,,,,,,223,"1,004.10",8.2,1.4,189.9,42.4,325.4,1.7,,,,,,,,,,,,,,,,,,,,236,"1,094",8,1,16,206.8,12.9,48.20%,4.6,53,6,55,47,414,8.8,1,,,,,,,,,,,,,,,,,,,,
50,5,Alvin Kamara,NO,4,3,3,-12,-0.1,35% (5/14),RB,20,11,38,35,30,46,30,43,37,38  -2,,,,,,218.7,897.3,5.4,1.3,179.6,62.7,478,2,,,,,,,,,,,,,,,,,,,,228,950,6,0,14,197.3,14.1,95.40%,4.2,24,3,89,68,543,8,2,,,,,,,,,,,,,,,,,,,,
51,5,Xavier Worthy,KC,5,3,2,3,0.7,50% (8/16),WR,23,10,49,57,50,68,57,48,54.8,57  -4,,,,,,15.5,84.7,1.5,0.5,228.5,74.5,926.4,7.5,,,,,,,,,,,,,,,,,,,,20,104,3,0,17,187.2,11,93.00%,,,,98,59,638,10.8,6,54,4,,,,,,,,,,,,,,,,,,
52,5,Tetairoa McMillan,CAR,5,2,4,0,-,-,WR,24,14,59,62,64,70,51,46,58.7,53  +3,,,,,,0.5,7.6,0,1.2,222.5,80.7,"1,047.50",6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
